"city","latitude","longitude","REG","Libellé","Code","Taux_de_chomage","Taux_bacdeux","Taux_cadres_profs","Taux_activite","Densité","Taux_hlm","Taux_pauvreté","Salaire_mensuel","Densite_cat","LIBELLE","Nom_region","Groupe_region","log_salaire_pred","salaire_pred","residu","erreur_pct","erreur_euro"
"Romans-sur-Isère",45.0547531985,5.03797756012,84,"Romans-sur-Isère",8427,7.7,12.3,12,77.2,"96,8",13.4,13.5,2449,"Intermédiaire","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes",7.78336399084278,2400.33596232871,0.0200710661093863,2.02738443430541,48.6640376712871
"Romilly-sur-Seine",48.5185939749,3.72154151549,44,"Romilly-sur-Seine",4415,8.8,9,11.3,75.6,"33,7",14.2,15.8,2519,"Très faible","Grand Est","Grand Est","Autres régions",7.77378743810169,2377.45873571239,0.0578298382509228,5.95346880942613,141.541264287614
"Romorantin-Lanthenay",47.3745226341,1.74456385409,24,"Romorantin-Lanthenay",2412,6.4,8.7,8.8,75.4,"36,1",9.6,14.3,2198,"Très faible","Centre-Val de Loire","Centre-Val de Loire","Autres régions",7.7151991800774,2242.16944879344,-0.0198960451138352,-1.96994249552407,-44.1694487934396
"Rouen",49.4413460103,1.09256784278,28,"Rouen",2815,8.1,11.3,17.4,73.6,"277,9",23.1,15.5,2516,"Forte","Normandie","Normandie","Autres régions",7.84354272488947,2549.22004048541,-0.0131171070691431,-1.30314527415554,-33.2200404854116
"Royan",45.6346574238,-1.01791403375,75,"Royan",7526,7.9,9.9,8.4,74,"122,8",4.2,12.1,2055,"Intermédiaire","Nouvelle-Aquitaine","Nouvelle-Aquitaine","Nouvelle-Aquitaine",7.68191933581199,2168.77839371423,-0.053888208881662,-5.2461973083094,-113.778393714232
"Sablé-sur-Sarthe",47.8378265007,-0.354705885665,52,"Sablé-sur-Sarthe",5218,5.7,9.3,8.1,77.8,"52,8",11.3,11.7,2257,"Faible","Pays de la Loire","Pays de la Loire","Autres régions",7.72010247316879,2253.19046030539,0.00168930364874072,0.169073132596798,3.80953969461052
"Saclay",48.7354339366,2.1663021309,11,"Saclay",1113,5.8,13.2,31.8,76.5,"1269,8",18.2,11.7,3172,"Forte","Île-de-France","Île-de-France","Île-de-France",8.08819751074782,3255.81370881376,-0.0260799279930796,-2.57427839273693,-83.8137088137596
"Saint-Avold",49.12845245,6.71233591282,44,"Saint-Avold",4416,7.6,10.3,10.7,72.7,"120,8",10.4,15.7,2413,"Intermédiaire","Grand Est","Grand Est","Autres régions",7.75964211119685,2344.06554032814,0.0289839544281797,2.94080769013858,68.9344596718583
"Saint-Brieuc",48.5149806053,-2.76154552773,53,"Saint-Brieuc",5316,6.8,12.9,13,75.9,"170,8",9.2,11.6,2300,"Forte","Bretagne","Bretagne","Bretagne",7.74197844009684,2303.02427438391,-0.00131403817959919,-0.131317520946206,-3.02427438391032
"Saint-Claude",46.408600398,5.87556247635,1,"Saint-Claude",2716,6.3,12.5,10.8,78.1,"43,9",11.6,10.8,2421,"Très faible","Guadeloupe","Guadeloupe","Guadeloupe",7.79193595693806,2420.99999999999,3.42607886505419e-17,1.99840144432528e-13,5.00222085975111e-12
