Code postal;Commune;temps_A_min;distance_A_km;temps_B_min;distance_B_km
50165;DONVILLE LES BAINS;71.0;111.9;69.9;111.8
35101;DOURDAIN;34.0;42.5;29.3;33.0
59183;DUNKERQUE;293.2;574.8;290.7;574.4
59193;EMMERIN;290.9;568.3;288.5;567.9
53094;ENTRAMMES;61.3;98.1;54.1;88.5
35104;EPINIAC;42.6;54.2;46.7;61.2
35105;ERBREE;36.3;55.0;29.0;45.3
35106;ERCE EN LAMEE;35.3;47.2;31.5;40.7
35107;ERCE PRES LIFFRE;24.1;28.4;21.8;28.0
29051;ERGUE GABERIC;123.5;210.8;126.6;215.1
22054;ERQUY;67.2;104.9;73.8;112.0
35108;ESSE;235.0;389.3;231.2;382.9
35109;ETRELLES;363.5;677.3;355.6;669.1
22056;EVRAN;35.7;47.2;39.8;54.3
59220;FACHES THUMESNIL;291.1;569.4;288.7;569.0
74123;FAVERGES SEYTHENEX;469.5;905.1;460.4;874.8
44057;FEGREAC;48.5;74.9;48.8;75.4
35110;FEINS;29.9;34.4;32.2;38.9
44058;FERCE;45.4;63.0;38.0;53.3
56058;FEREL;77.3;107.5;75.9;107.7
27238;FERRIERES HAUT CLOCHER;179.1;333.2;171.8;323.6
50188;FOLLIGNY;63.2;103.6;62.2;103.5
37109;FONDETTES;140.0;256.0;132.8;246.4
14274;FONTAINE ETOUPEFOUR;93.5;178.8;91.2;178.3
76270;FONTAINE LA MALLET;150.4;281.5;148.1;281.1
14277;FONTENAY LE MARMION;101.0;194.3;99.9;194.2
94033;FONTENAY SOUS BOIS;188.7;364.3;183.7;355.0
53099;FORCE;294.5;559.0;289.0;552.2
80331;FOREST L ABBAYE;222.3;433.9;220.0;433.5
29058;FOUESNANT;125.3;204.1;128.4;208.8
35115;FOUGERES;36.2;54.9;35.2;54.8
53100;FOUGEROLLES DU PLESSIS;60.9;79.1;58.6;78.7
76475;FRANQUEVILLE ST PIERRE;169.8;318.9;167.5;318.4
35117;GAEL;31.6;48.3;36.8;54.9
35118;GAHARD;28.9;35.4;28.7;33.6
35119;GENNES SUR SEICHE;43.3;58.7;36.1;49.1
56063;GESTEL;94.2;158.0;97.2;162.3
35120;GEVEZE;17.4;17.5;21.5;24.6
91272;GIF SUR YVETTE;176.3;340.0;169.1;330.3
44064;GORGES;241.0;465.7;240.3;465.6
35121;GOSNE;24.5;29.3;22.2;28.8
56065;GOURHEL;43.1;68.2;47.9;73.2
35123;GOVEN;21.2;22.2;19.9;22.4
35124;GRAND FOUGERAY;34.8;51.2;29.3;44.4
50391;GRANDPARIGNY;62.0;98.4;59.6;98.0
50218;GRANVILLE;69.0;110.7;68.0;110.6
38185;GRENOBLE;437.5;889.3;430.3;879.7
59275;GRUSON;297.8;578.3;296.1;577.3
56070;GUEGON;51.0;80.8;55.7;85.9
44067;GUEMENE PENFAO;51.2;70.8;45.6;64.0
56075;GUER;33.4;47.3;36.5;51.7
35126;GUICHEN;21.7;24.6;20.4;24.8
56078;GUIDEL;97.6;160.5;100.7;164.8
35127;GUIGNEN;21.7;30.1;22.0;30.6
22070;GUINGAMP;78.3;130.1;84.0;136.9
29075;GUIPAVAS;133.4;232.0;138.5;238.5
35128;GUIPEL;23.9;27.2;28.4;34.6
35176;GUIPRY MESSAC;41.8;46.2;36.3;39.4
22071;GUITTE;32.2;41.6;37.3;48.1
10169;GUMERY;232.9;438.8;224.9;429.2
27310;HACQUEVILLE;194.9;356.3;192.5;355.9
44071;HAUTE GOULAINE;74.4;120.6;70.3;114.2
35130;HEDE BAZOUGES;20.1;25.1;24.2;32.2
22077;HENANSAL;58.2;92.6;63.8;99.5
64260;HENDAYE;351.1;683.4;346.2;676.9
56083;HENNEBONT;84.9;140.2;87.9;144.5
14327;HEROUVILLE ST CLAIR;98.6;189.3;97.6;189.2
22081;HILLION;57.3;92.6;62.5;99.1
50247;HOCQUIGNY;63.6;102.9;61.3;102.5
35133;IFFENDIC;23.4;33.5;29.5;37.9
22083;ILLIFAUT;39.3;55.6;45.7;62.4
56090;INZINZAC LOCHRIST;87.4;141.2;90.8;145.9
35135;IRODOUER;22.1;29.0;27.2;35.5
35136;JANZE;23.2;32.0;17.5;22.7
17192;JARNAC CHAMPAGNE;206.7;388.2;202.9;381.7
35137;JAVENE;36.8;55.5;34.5;55.0
89209;JOUY;221.0;420.8;213.8;411.2
76378;JUMIEGES;165.4;296.1;163.1;295.7
56092;KERFOURN;69.8;104.6;73.2;109.3
56094;KERVIGNAC;86.4;143.1;90.7;147.8
35131;L HERMITAGE;14.2;15.0;18.0;19.3
95313;L ISLE ADAM;212.7;384.6;207.5;375.3
44055;LA BAULE ESCOUBLAC;95.7;144.9;91.9;138.4
35017;LA BAUSSAINE;24.2;32.8;28.3;39.9
35030;LA BOSSE DE BRETAGNE;29.0;38.3;25.1;31.9
35031;LA BOUEXIERE;26.6;29.5;22.7;25.8
35034;LA BOUSSAC;44.4;56.7;50.3;64.5
33213;LA BREDE;251.4;482.0;245.9;475.2
78126;LA CELLE ST CLOUD;183.4;344.4;176.0;334.8
35056;LA CHAPELLE AUX FILTZMEENS;29.7;39.4;33.8;46.5
35057;LA CHAPELLE BOUEXIC;30.7;33.7;29.3;33.9
35058;LA CHAPELLE CHAUSSEE;22.3;28.1;26.8;35.5
35059;LA CHAPELLE DES FOUGERETZ;13.0;10.9;17.1;18.0
35060;LA CHAPELLE DU LOU DU LAC;23.9;34.1;30.3;41.0
35061;LA CHAPELLE ERBREE;43.9;61.4;36.7;51.8
35063;LA CHAPELLE ST AUBERT;33.4;50.0;31.1;49.5
18050;LA CHAPELLE ST URSIN;209.8;416.3;204.5;407.0
44035;LA CHAPELLE SUR ERDRE;67.4;103.3;62.0;96.5
35065;LA CHAPELLE THOUARAULT;15.8;17.3;22.3;24.5
35089;LA COUYERE;32.2;40.9;24.8;31.2
35098;LA DOMINELAIS;30.1;45.3;26.3;38.8
45146;LA FERTE ST AUBIN;194.2;375.0;187.0;365.3
35116;LA FRESNAIS;45.3;67.5;51.1;75.2
56061;LA GACILLY;45.8;62.8;44.5;62.9
85097;LA GAUBRETIERE;113.2;193.9;110.1;172.6
35122;LA GOUESNIERE;42.2;64.1;46.8;71.6
35125;LA GUERCHE DE BRETAGNE;43.5;61.8;36.3;52.2
35177;LA MEZIERE;15.7;16.0;19.8;23.1
35202;LA NOE BLANCHE;33.9;47.4;28.4;40.6
35203;LA NOUAYE;18.9;24.8;24.1;31.3
53177;LA PELLERINE;126.1;198.3;118.7;188.6
22255;LA PRENESSAYE;51.7;78.9;56.8;85.4
35241;LA RICHARDAIS;44.7;70.7;50.1;78.1
37195;LA RICHE;138.5;255.8;131.3;246.2
85191;LA ROCHE SUR YON;113.2;185.8;107.7;179.0
17300;LA ROCHELLE;159.2;253.9;153.7;247.1
76547;LA RUE ST PIERRE;178.7;341.1;177.9;341.0
22385;LA VICOMTE SUR RANCE;36.6;52.6;40.7;59.7
35358;LA VILLE ES NONAIS;39.3;60.0;43.4;67.1
77243;LAGNY SUR MARNE;201.4;381.7;193.7;372.0
35139;LAILLE;19.6;23.2;14.1;16.4
13050;LAMBESC;509.2;1012.6;504.1;1003.3
22094;LANCIEUX;52.6;79.3;58.0;86.7
35142;LANDEAN;42.1;61.5;41.1;61.4
85118;LANDERONDE;121.7;197.4;116.2;190.6
53125;LANDIVY;54.5;74.1;53.5;74.0
35143;LANDUJAN;25.0;36.3;31.0;43.2
35144;LANGAN;21.1;25.0;27.8;37.0
35145;LANGON;264.4;506.6;260.3;500.1
35146;LANGOUET;20.5;23.5;25.1;30.9
22106;LANGUEUX;58.2;93.2;63.3;99.7
22113;LANNION;96.5;162.7;101.7;169.2
22114;LANRELAS;38.1;55.4;43.7;62.3
35148;LANRIGAN;35.9;42.5;40.0;49.6
22118;LANVALLAY;36.2;51.5;40.7;59.0
