FE.ADEME.ID;FE.BDD;FE.VAL;FE.UNITE;FE.Incertitude;FE.LIB1;FE.LIB2;FE.LIB3;FE.LIB4;FE.LIB5;FE.CAT1;FE.CAT2;FE.CAT3;FE.CAT4;FE.CAT5;FE.DATE-CREA;FE.DATE-MODIF;FE.DATE-VALID;FE.TYPE
32681;Base Carbone V23.7;7,55;kgCO2e/kg de poids net;1;"produits céréaliers,""Agribalyse,""""Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille,biscuits sucrés""""""";"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille""""""";;;France continentale;Achats de biens;Produits agro-alimentaires, plats préparés et boissons;Produits céréaliers;Céréales de petit-déjeuner et biscuits;;04/03/2021;17/05/2024;31/12/2023;QTE
33358;Base Carbone V23.7;1,9;kgCO2e/kg de poids net;1;"Agribalyse,fruits,légumes,légumineuses et oléagineux,""légumes cuits"""",""""Haricot mungo germé ou pousse de """"""""soja""""""""""";"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""";appertisé, égoutté;;France continentale;Achats de biens;Produits agro-alimentaires, plats préparés et boissons;Fruits, légumes, légumineuses et oléagineux;Légumes;;04/03/2021;17/05/2024;31/12/2023;QTE
33308;Base Carbone V23.7;0,756;kgCO2e/kg de poids net;1;"fruits,légumes,légumineuses et oléagineux,""Agribalyse,""""Haricot mungo germé ou pousse de """"""""soja"""""""",légumes crus""""""";"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""";cru;;France continentale;Achats de biens;Produits agro-alimentaires, plats préparés et boissons;Fruits, légumes, légumineuses et oléagineux;Légumes;;04/03/2021;17/05/2024;31/12/2023;QTE
43018;Base Carbone V23.7;258;kgCO2e/kg;0,3;;(4s,5s)-1,1,2,2,3,3,4,5- octafluorocyclopentane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43019;Base Carbone V23.7;0,004;kgCO2e/kg;0,3;;(e)-1-chloro-2-fluoroethene;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;08/09/2023;2026;QTE
43020;Base Carbone V23.7;0,002;kgCO2e/kg;0,3;;(e)-hex-2-en-1-ol;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;08/09/2023;2026;QTE
43021;Base Carbone V23.7;0,003;kgCO2e/kg;0,3;;(z)-hex-2-en-1-ol;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;08/09/2023;2026;QTE
20620;Base Carbone V23.7;0,00755;kgCO2e/unité;1;services informatiques;1 achat sur le web;;;Monde;Achats de services;Autres services;;;;05/11/2014;02/04/2020;;QTE
20615;Base Carbone V23.7;0,004;kgCO2e/unité;1;services informatiques;1 mail;;;Monde;Achats de services;Autres services;;;;05/11/2014;05/11/2014;;QTE
20616;Base Carbone V23.7;0,035;kgCO2e/unité;1;services informatiques;1 mail avec pièce jointe;;;Monde;Achats de services;Autres services;;;;05/11/2014;05/11/2014;;QTE
20618;Base Carbone V23.7;0,00101;kgCO2e/unité;1;services informatiques;1 requête de navigation web;;;Monde;Achats de services;Autres services;;;;05/11/2014;05/11/2014;;QTE
20619;Base Carbone V23.7;0,00665;kgCO2e/unité;1;services informatiques;1 requête internet;;;Monde;Achats de services;Autres services;;;;05/11/2014;05/11/2014;;QTE
20617;Base Carbone V23.7;0,00003;kgCO2e/unité;1;services informatiques;1 SPAM;;;Monde;Achats de services;Autres services;;;;05/11/2014;05/11/2014;;QTE
20625;Base Carbone V23.7;0,00135;kgCO2e/unité;1;services informatiques;1 transaction logiciel classique;;;Monde;Achats de services;Autres services;;;;05/11/2014;05/11/2014;;QTE
20621;Base Carbone V23.7;0,00002;kgCO2e/unité;1;services informatiques;1 tweet;;;Monde;Achats de services;Autres services;;;;05/11/2014;05/11/2014;;QTE
43022;Base Carbone V23.7;6630;kgCO2e/kg;0,3;;1,1,1,2,2,3,3-heptafluoro-3- (1,2,2,2- tetrafluoroethoxy)propane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43023;Base Carbone V23.7;0,11;kgCO2e/kg;0,3;;1,1,1,2,2,4,5,5,5-nonafluoro-4- (trifluoromethyl)pentan-3-one;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;24/04/2025;2026;QTE
43613;Base Carbone V23.7;0,114;kgCO2e/kg;0,3;;1,1,1,2,2,4,5,5,5-nonafluoro-4- (trifluoromethyl)pentan-3-one;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;24/04/2025;24/04/2025;2026;QTE
43024;Base Carbone V23.7;206;kgCO2e/kg;0,3;;1,1,1,3,3,3-hexafluoropropan-2- ol;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43025;Base Carbone V23.7;0,1;kgCO2e/kg;0,3;;1,1,1-trifluorobutan-2-one;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;24/04/2025;2026;QTE
43615;Base Carbone V23.7;0,095;kgCO2e/kg;0,3;;1,1,1-trifluorobutan-2-one;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;24/04/2025;24/04/2025;2026;QTE
43026;Base Carbone V23.7;0,09;kgCO2e/kg;0,3;;1,1,1-trifluoropropan-2-one;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43029;Base Carbone V23.7;7800;kgCO2e/kg;0,3;;1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8, 8a-octadecafluoronaphthalene;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;25/09/2024;2026;QTE
43030;Base Carbone V23.7;7120;kgCO2e/kg;0,3;;1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8, 8a-octadecafluoronaphthalene;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43604;Base Carbone V23.7;7120;kgCO2e/kg;0,3;;1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene(E);;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;24/04/2025;24/04/2025;2026;QTE
43603;Base Carbone V23.7;7800;kgCO2e/kg;0,3;;1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene(Z);;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;24/04/2025;24/04/2025;2026;QTE
43028;Base Carbone V23.7;231;kgCO2e/kg;0,3;;1,1,2,2,3,3,4- heptafluorocyclopentane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43027;Base Carbone V23.7;120;kgCO2e/kg;0,3;;1,1,2,2,3,3- hexafluorocyclopentane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43031;Base Carbone V23.7;6,34;kgCO2e/kg;0,3;;1,1,2,2-tetrachloroethene;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43032;Base Carbone V23.7;1,68;kgCO2e/kg;0,3;;1,1,2,2-tetrafluoro-3- methoxypropane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43033;Base Carbone V23.7;0,004;kgCO2e/kg;0,3;;1,1,2,3,4,4-hexafluorobuta-1,3- diene;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;08/09/2023;2026;QTE
43034;Base Carbone V23.7;0,04;kgCO2e/kg;0,3;;1,1,2-trichloroethene;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;24/04/2025;2026;QTE
43597;Base Carbone V23.7;0,044;kgCO2e/kg;0,3;;1,1,2-trichloroethene;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;24/04/2025;24/04/2025;2026;QTE
43035;Base Carbone V23.7;1260;kgCO2e/kg;0,3;;1,1,2-trifluoro-2- (trifluoromethoxy)ethane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
